Name,Age,Salary,Department,Join_Date
Maya ,, 50000 ,IT,2021-13-2
David,49,75175,Sales,
Sara ,, 50000 ,Sales,2020-02-30
Kevin123,twenty,,Finance ,
Sara ,28,,HR,12/11/2022
Kevin123,30,32281,HR,2020-02-30
Sara,twenty,75799,Sales,
Kevin,, 50000 ,HR,2021-13-13
Ahmed123,twenty,45544,HR,
Ahmed,twenty,70k,IT,
Priya,,unknown,HR,2022-9-28
Priya  ,,70k,HR,5/5/2023
Meena  ,,80878,HR,
Emily,,,IT,2021-13-13
Sara ,,85950,Sales,
Maya ,,70k,Finance,2023-11-28
David ,,71263,Finance,2020-02-30
Maya123,twenty,,Sales,
Sara ,,52547,HR ,2020-02-30
Sara,,,IT,2021-13-22
Maya123,,,IT ,2022-8-25
Maya,30,unknown,Marketing ,2021-4-18
John123,,,HR ,9/18/2018
David,,70k,IT,
Rakesh123,,70k,HR ,
Sara ,,unknown,IT ,2020-02-30
Meena,,70k,IT,8/3/2018
Rakesh  ,,unknown,Finance,10/19/2010
Priya,,unknown,HR ,
Rakesh123,,,Marketing ,2/22/2020
Meena,twenty,43926,Marketing ,
John,44,59969,Marketing,
Priya ,,70121,Marketing,2021-13-23
Sara123,twenty,,Finance ,
Meena ,,70k,HR,2/24/2010
Ahmed,54,,Marketing,2021-13-27
Meena  ,,,Finance ,4/27/2021
Meena  ,twenty,,Sales ,
Ahmed ,43,,Finance,2020-5-9
Kevin123,, 50000 ,IT ,2021-13-11
Rakesh  ,,70k,Marketing,
David ,42,70k,IT,8/26/2018
Ahmed123,,70k,Sales ,
Rakesh,30,38106,Sales,4/24/2010
Sara,46,70k,Marketing,12/8/2024
Rakesh123,,54289,IT,2021-13-28
Emily ,,67033,IT,2020-9-18
Ahmed,twenty, 50000 ,Finance ,2020-02-30
David ,,,Sales ,2020-8-16
Sara ,,39040,Marketing,2021-5-16
Kevin123,,58449,Finance,9/5/2023
David,26,33994,IT,2020-02-30
Sara123,twenty, 50000 ,Sales,
Rakesh,,70k,Finance ,
Sara ,,unknown,Sales,
Rakesh ,,unknown,IT ,
Meena,,,Marketing,2024-4-21
John ,57, 50000 ,HR ,
Ahmed ,,70k,Finance ,
Emily123,,,IT ,2023-3-18
Maya123,twenty,unknown,Marketing ,2021-13-16
Rakesh,54,,Marketing,2021-13-10
Kevin  ,twenty,,Finance,2021-6-25
Emily,twenty,,IT,2021-13-2
David,,,HR,12/28/2010
Meena,,34937,Finance,
Emily ,, 50000 ,Sales ,2020-02-30
Meena  ,, 50000 ,IT,
Sara123,twenty,53679,IT,3/19/2015
Sara123,,,Marketing ,2020-4-16
John123,, 50000 ,Finance,2021-13-25
Sara,, 50000 ,Sales,9/19/2022
Ahmed,33,unknown,HR,2020-2-26
Maya ,47,,Marketing ,2024-8-12
Meena  ,twenty, 50000 ,Finance,2020-3-8
John,38, 50000 ,Finance ,2024-3-24
John ,,,Marketing ,2021-1-4
Ahmed,,69209,IT ,2021-13-8
Emily ,,unknown,Finance,9/23/2015
John,,34681,Sales,2024-10-4
Sara123,, 50000 ,HR,2021-3-11
Maya123,,,HR,2020-02-30
Kevin ,20,70k,Marketing,
Meena,55,unknown,Marketing,
David123,twenty,,HR ,2020-02-30
Kevin ,27,unknown,IT,2020-02-30
Rakesh,44,48200,Sales,
Meena,,53942,Finance,2021-13-15
John123,, 50000 ,Marketing,2021-13-2
Rakesh123,28,unknown,Finance ,2024-11-7
David123,,,IT,
Meena,, 50000 ,Finance ,
Rakesh123,,,Marketing,2021-13-25
Ahmed123,,,Sales,10/19/2018
David,twenty,70k,Sales,2024-10-28
Ahmed,,47438,HR,6/23/2019
Rakesh,twenty,41543,IT,5/2/2012
David ,twenty, 50000 ,IT,3/5/2022
Priya,twenty,70k,IT,
Emily  ,,,Sales ,2024-3-5
Priya ,twenty,,Marketing,3/12/2016
David,,unknown,HR ,2020-02-30
Ahmed ,,,IT,2021-13-21
Meena,22,,Finance ,2021-13-7
Priya  ,twenty,70k,Marketing ,2020-02-30
Meena,, 50000 ,Sales,2023-8-1
Kevin ,,75356,Sales,
Kevin123,twenty, 50000 ,Finance,
Rakesh  ,twenty,unknown,HR ,9/15/2014
Rakesh  ,49,82261,Marketing ,
Kevin,twenty,58306,Finance,
Priya123,twenty, 50000 ,Finance ,2021-13-23
Rakesh,, 50000 ,Marketing,
Sara  ,,70k,Finance,2021-13-17
John ,twenty, 50000 ,HR,
Sara123,,70k,Finance,2021-13-7
Rakesh,, 50000 ,Marketing,2021-13-1
Ahmed,,,Marketing,2021-13-14
Rakesh,,,Marketing,2020-02-30
Maya,twenty,,Marketing,
Sara  ,33,70k,IT ,2020-5-8
Ahmed,,,IT,12/6/2017
Sara,,,Marketing ,2020-02-30
Meena,,unknown,Marketing,
Ahmed,, 50000 ,Sales,2021-13-18
Priya,35,,HR,
Meena,,89794,Sales ,5/8/2022
David ,,,Sales,2024-11-7
Sara123,,,Finance,2024-10-18
David ,, 50000 ,Marketing,
Ahmed  ,,70k,IT ,2020-02-30
Sara,32,unknown,Sales,
Sara,,71536,IT,
Priya ,,unknown,Finance,
Priya  ,,,HR,
Kevin,,52417,Finance ,2020-02-30
David,46,70k,HR ,
Emily,,62122,HR ,
David  ,twenty,48579,Sales,10/16/2018
Rakesh ,,70k,Finance,2021-13-24
Rakesh ,,49919,HR,
Sara,52,,IT,
Ahmed123,,unknown,Sales,1/8/2022
Kevin123,,,HR,2020-02-30
Rakesh,twenty, 50000 ,Marketing,
John,50, 50000 ,HR ,
David123,60, 50000 ,Finance,
Maya123,51,,IT,
Meena123,,,IT,8/7/2016
Rakesh,twenty,70k,Marketing,
Sara ,,unknown,HR,
David,,50090,IT,2023-2-11
John,57, 50000 ,HR ,2021-11-24
Priya123,,unknown,Marketing,12/14/2022
Kevin,twenty,70k,Sales,2024-10-24
John ,twenty,,Finance,
David,45, 50000 ,Marketing,2020-02-30
Sara ,40,unknown,Finance,2021-6-12
Ahmed ,twenty,,Sales ,
Rakesh,twenty,,Finance,2021-13-1
Kevin,,unknown,HR,9/7/2021
Rakesh,,,Sales ,7/20/2018
Ahmed,28,45886,Sales,
Priya,,70k,Finance,
John123,23, 50000 ,Sales,2022-11-21
Emily ,,unknown,IT,4/24/2014
Emily ,,,Marketing ,3/5/2021
Rakesh,,87472,IT,
John  ,twenty,82280,Finance,
John,,,Finance ,
Emily  ,,70k,IT,2021-13-17
Emily  ,, 50000 ,Finance,2021-13-5
Ahmed  ,, 50000 ,Sales,2020-02-30
Sara ,,,Finance,2020-02-30
Ahmed,,,HR ,2021-13-15
David,twenty,70k,Finance,7/21/2012
Emily  ,, 50000 ,Finance ,7/19/2019
John,twenty,unknown,HR,2020-02-30
Priya ,48,33056,HR ,2021-13-25
John  ,51, 50000 ,HR ,
Kevin123,,unknown,IT ,
Kevin123,42,70k,IT,2020-02-30
Kevin,40,,Marketing,2022-11-14
Sara  ,,43072,Finance ,2021-1-15
Rakesh123,28,,HR,2021-5-8
Priya,twenty, 50000 ,HR ,
Maya,,,Finance,
Meena,,unknown,HR ,2021-13-15
Emily,,unknown,Sales,
Emily  ,, 50000 ,Sales ,
David,,70k,Sales ,2021-13-3
Rakesh,,,Marketing,2023-7-1
Maya ,twenty,,Finance,2020-02-30
Priya123,,70k,Marketing ,12/2/2020
Maya  ,45, 50000 ,IT,2024-4-10
Sara ,53,,HR ,2021-13-19
Emily123,38,unknown,IT,
Meena ,,41441,Finance ,8/8/2021
Emily123,twenty,45351,HR,4/22/2012
David123,,,Finance,
Sara123,twenty,70k,HR ,5/22/2014
Ahmed  ,twenty,,Marketing,2020-02-30
Ahmed,53,70k,HR ,2021-13-2
Priya123,,,HR,2020-02-30
Rakesh  ,twenty,,IT,
John123,,70k,Sales,2024-12-2
Rakesh123,twenty,79198,Finance,
John ,,,Finance,
John,, 50000 ,Sales ,2021-1-23
Kevin,,unknown,Finance,
David,29,,IT,2023-12-15
John,40,70k,HR ,
Maya,55,,Marketing,
Ahmed123,,unknown,Finance ,
Maya  ,,77490,IT,2020-8-16
Sara,,74716,IT ,1/27/2011
Ahmed ,, 50000 ,Finance ,5/7/2018
Meena123,,unknown,Marketing,2020-2-2
Maya ,,unknown,IT ,2022-6-22
Ahmed,twenty, 50000 ,HR ,2020-02-30
John ,twenty,86848,Sales ,2023-6-15
Ahmed123,,unknown,Sales ,
John ,twenty,70k,IT,
John  ,,,Marketing,2020-02-30
David ,twenty,88839,Sales,2020-02-30
Meena  ,25,70k,Finance ,
John ,, 50000 ,IT,2020-02-30
Ahmed  ,, 50000 ,Finance ,2021-13-7
Ahmed,twenty,,IT ,
John,twenty,33172,Sales,2020-02-30
John123,,69854,Sales,2021-13-17
David  ,56,,HR,9/22/2015
Priya123,, 50000 ,IT,
Priya ,,56963,Marketing,
Rakesh123,,unknown,Finance,5/15/2023
Ahmed,twenty,,IT ,
Kevin,46, 50000 ,HR,2021-13-10
Maya ,,,IT,
Meena,,,HR ,
Rakesh,,,Marketing,2020-02-30
David  ,,70k,Marketing,2020-02-30
Sara,,,HR,2021-13-26
Meena,twenty,unknown,HR,2021-13-18
David,,,Marketing ,2024-10-28
Sara,45,86822,HR,
David,,unknown,Marketing,
Maya  ,twenty,87527,Finance,
Maya  ,,70k,HR ,2023-12-16
Rakesh,,70k,Marketing ,6/13/2019
Sara,53,,Finance,2021-13-17
Sara,,,Sales,
Emily,twenty,unknown,Sales,2021-13-21
Rakesh,,,Sales,2021-4-16
Priya123,, 50000 ,Finance,2021-13-2
Meena,twenty,,Finance,6/17/2012
David,twenty,,Marketing ,
David123,twenty,,IT ,
Maya ,,,Sales ,
John123,,70k,Sales ,2020-02-30
Kevin ,,unknown,HR ,2022-8-14
David123,twenty,unknown,HR,2020-02-30
David ,,52358,Finance ,2021-13-8
David,,89937,IT,3/28/2018
Priya  ,,,Marketing,
Rakesh ,39,70k,HR ,2020-02-30
Priya,twenty, 50000 ,IT,2021-13-10
David ,58,,Sales ,4/20/2018
Rakesh123,,,Marketing ,
Sara123,25,45541,Sales ,2022-9-20
Sara ,,unknown,HR ,
John  ,,62783,HR ,2/19/2017
David ,,unknown,Marketing,2020-02-30
Priya123,, 50000 ,HR,
Rakesh,twenty,,IT,2020-02-30
Kevin  ,, 50000 ,Marketing ,2020-02-30
Meena  ,twenty,,Marketing,2024-6-17
Kevin,,unknown,IT,
Kevin,twenty,,HR,7/15/2014
John  ,twenty, 50000 ,Marketing,2021-13-27
Kevin ,,89507,Sales ,4/5/2021
David,,67896,IT,2023-2-27
Meena,twenty,70k,IT ,2020-02-30
David ,,,Marketing,2024-1-2
Maya,twenty,,HR,
David  ,27,,Marketing,
Meena,,,Finance,2021-13-17
Rakesh ,33,70k,HR,2020-02-30
John ,,,HR,2020-02-30
John,,,Marketing,2020-12-7
John ,39,,Finance ,
Kevin ,twenty,40411,Finance ,6/6/2023
John ,twenty, 50000 ,Sales,2021-13-1
Ahmed,,unknown,Sales,
Maya,twenty, 50000 ,Sales ,
Sara,,70k,Sales ,
Emily  ,twenty,70k,Finance,2020-02-30
David,52,,HR,
Priya,60,51151,Sales ,10/25/2010
Rakesh ,,unknown,Marketing ,2020-02-30
Rakesh,,,HR,
Ahmed ,,,HR,
David  ,twenty,,IT,2020-02-30
Emily,,,HR ,11/4/2015
Sara,,69290,HR ,
David123,twenty, 50000 ,IT ,2021-13-5
Priya123,twenty, 50000 ,Sales,
David  ,,,Finance ,1/6/2011
Maya123,,,Marketing,
Priya,,unknown,Marketing,
Emily,,,Marketing,2021-13-8
Kevin,,,Marketing,
Maya,20,73831,Marketing,2022-5-28
Rakesh ,twenty,,HR,
Priya,42,,Marketing,
Priya,twenty,42174,Finance,2020-02-30
Meena123,, 50000 ,Sales,2021-6-3
Kevin,44,unknown,Marketing ,2022-7-14
David,,70k,Sales,
David ,,unknown,Marketing,2022-11-3
Maya,,,Marketing,
Rakesh,,,HR,2021-13-19
John ,,70k,Marketing,2021-13-3
Meena  ,twenty,,Finance,
David  ,,70k,Marketing,2021-3-17
Rakesh  ,,,HR,2021-13-23
David ,,,Finance,2022-1-14
Kevin,,,HR,2021-13-25
Ahmed ,,81669,HR,2021-13-21
David123,,66600,Finance,2020-9-4
John ,twenty,,Marketing ,2021-13-24
Rakesh ,, 50000 ,HR ,2023-8-13
Meena,,,Finance,
Sara,,,Finance,2020-02-30
Ahmed ,,68667,Sales ,
Ahmed123,twenty, 50000 ,Marketing,2022-2-11
Emily123,,61487,IT ,2021-13-24
David,60,,HR ,2021-13-16
Rakesh,,70k,Marketing ,2020-02-30
Kevin,,87519,Sales ,4/19/2015
Emily123,twenty,70k,Sales,4/24/2011
David123,29,52634,IT ,2020-02-30
Kevin,,unknown,Finance,2023-8-23
Kevin123,,,HR ,3/19/2015
Meena,,70k,Marketing,2020-02-30
Priya  ,twenty,,Marketing ,2020-02-30
Rakesh  ,twenty,40655,Sales,2023-12-7
Ahmed ,,unknown,Finance,
Emily123,,unknown,Sales ,2022-11-9
Maya ,,,Marketing,
David,,unknown,HR,
John  ,,42954,HR,2021-13-1
Maya,,,Marketing,2021-13-16
Priya ,29,unknown,Finance,
Priya ,,70k,HR,2021-13-12
Ahmed,,,HR,2020-10-15
David ,,87284,Marketing,2023-3-6
Kevin,twenty,70k,Sales,4/13/2013
Rakesh,,70k,IT,
John,, 50000 ,IT,
Rakesh,51,unknown,HR,2021-13-24
Priya,,,Sales,10/12/2015
Rakesh,,70k,Marketing,
Rakesh123,,,Sales,
Meena ,,,Sales,2024-10-2
David ,31, 50000 ,Finance ,2021-13-13
Sara  ,,77977,Sales ,2022-2-22
Meena123,,70k,HR ,2020-02-30
Maya  ,,unknown,Marketing,
Priya  ,twenty,,Marketing,
John,,,IT,2021-13-9
Priya,,45583,Marketing,
Maya,,,Marketing,
John,,41961,IT ,
Rakesh,,,Sales,2024-7-15
Meena  ,twenty,32192,HR,
Meena  ,, 50000 ,Marketing,2023-1-14
Maya ,, 50000 ,IT ,
Sara ,,45904,Marketing ,8/28/2012
Ahmed,,,Marketing,2023-9-15
Emily,44,70k,Marketing ,
Meena,,70k,IT,
Priya123,23, 50000 ,IT,
Ahmed ,,64780,Finance ,
Priya,,unknown,Marketing,9/3/2019
Maya ,,unknown,HR,2/7/2023
Meena,twenty,,HR,2020-02-30
Maya123,twenty,unknown,Sales ,2020-4-24
Emily123,, 50000 ,Finance,2021-13-16
Priya ,, 50000 ,Sales,
Maya  ,twenty, 50000 ,Marketing,
Emily  ,,70k,Finance ,2024-9-8
David ,22,73752,Finance ,2020-02-30
John,,,HR,2020-2-12
Meena ,,,HR,2023-7-3
Maya,,85399,Sales ,10/23/2024
Kevin,twenty,unknown,HR,3/23/2015
Maya  ,, 50000 ,Marketing,2021-10-17
John ,,70499,Marketing,
David  ,,,Marketing,2020-02-30
David123,,70k,Finance,8/21/2015
Emily ,28, 50000 ,Sales ,2020-4-20
Maya  ,28,,HR,2022-3-1
Rakesh  ,,unknown,IT,2021-13-25
Maya  ,twenty,unknown,Finance,
Ahmed  ,twenty,86329,Sales,2020-02-30
Ahmed123,,,Marketing,
John,,unknown,Finance,
Rakesh,,,IT,
David ,twenty,,IT,2020-02-30
David ,,70k,IT ,2021-13-1
Priya,58,,Marketing ,
Sara,,58969,Marketing,
Kevin,twenty,,IT ,7/11/2012
David  ,twenty,70k,Marketing ,
Emily ,24,,Marketing ,2021-13-24
David,, 50000 ,Marketing,
Maya,,43659,IT,
Sara,,,HR,2020-02-30
Meena,,70k,Finance,2020-02-30
John ,twenty,,Marketing,
John,twenty,,IT ,2020-02-30
David,, 50000 ,Finance ,
Priya,33,70k,Marketing,5/15/2018
Kevin123,,48271,Marketing ,
Emily  ,twenty,unknown,IT,2021-13-25
Sara  ,37,89498,HR,2020-02-30
Meena,,,HR ,8/5/2011
Maya  ,,,HR ,
Sara,,70k,Marketing,2021-13-5
Meena,36,70k,Marketing ,9/18/2020
Ahmed,twenty, 50000 ,Sales,2021-13-7
Meena123,,70k,Marketing ,2020-02-30
Sara ,42, 50000 ,Finance ,2021-13-27
Emily,,,Finance ,2022-4-5
Meena123,, 50000 ,Sales ,2024-12-19
David123,twenty, 50000 ,Finance ,
Kevin  ,,,IT,8/17/2022
Rakesh123,,,Finance ,11/15/2024
David,,53060,HR ,2021-13-20
Emily,twenty,unknown,Sales ,10/16/2015
Ahmed  ,41,,Marketing ,2020-02-30
Ahmed  ,,,Marketing,10/26/2014
Kevin,,70k,Sales ,2020-02-30
Maya,,71101,Sales,4/26/2016
Emily123,,,Finance ,
Meena ,60,68463,HR,2020-9-9
Priya123,twenty,70k,Finance ,2021-13-17
Kevin,42, 50000 ,HR,
David ,twenty,,Sales,2020-02-30
Maya,,,Finance ,2020-02-30
Rakesh,, 50000 ,Sales ,
Kevin,,80202,IT ,8/13/2019
Sara,,,HR,2020-02-30
Meena,,80115,IT,7/7/2024
Kevin123,,70k,Finance,
Meena  ,22,,HR ,
Priya,34,,Sales ,2020-02-30
Maya,,88599,Marketing,
Sara ,34,70k,Finance ,
Meena123,53,67136,Finance ,
Priya,33,,HR,10/22/2013
Meena,,unknown,HR ,2024-1-19
John,29,82594,HR ,2021-13-4
John,26, 50000 ,Marketing,2021-13-20
Meena,, 50000 ,Finance,2021-13-5
Meena,twenty,61967,Marketing ,
Ahmed  ,43,,Sales,
Ahmed123,twenty,,IT ,2024-3-14
Meena  ,twenty, 50000 ,Sales,2020-02-30
Sara,,unknown,Finance,2021-13-21
Kevin  ,, 50000 ,Sales ,2021-9-16
Sara  ,29,unknown,Marketing,2021-7-14
Ahmed123,,,HR,
Ahmed ,,70k,IT,2020-02-30
John  ,,unknown,Finance ,2020-02-30
Priya  ,twenty,unknown,Finance,2021-13-8
Rakesh,,38001,HR ,2/24/2019
Meena ,,70k,HR ,2023-5-24
Ahmed  ,,70k,Sales,6/4/2012
Kevin ,56,70874,IT,2021-13-7
Kevin ,,,HR ,5/10/2012
Ahmed,,70k,IT,
David ,, 50000 ,Sales,7/26/2023
Kevin,35, 50000 ,Finance,2021-13-11
John,60,70k,Marketing,
Sara123,,unknown,IT,
John,,70k,Marketing ,2021-13-13
Meena123,49, 50000 ,Marketing ,2021-13-1
John ,55,,HR ,6/1/2012
Sara,,,HR,
Priya  ,57,,Sales,2024-8-9
John123,,66580,Marketing,
Sara123,, 50000 ,Sales,
Meena  ,,,Sales,
David  ,,unknown,HR,6/28/2024
Rakesh  ,twenty,49073,Finance ,2021-13-10
Meena123,,,Sales ,2020-02-30
Emily ,21,69468,HR,2021-13-2
Meena,twenty,,IT,
Priya123,,85846,HR,2020-02-30
Maya  ,,,IT,8/17/2022
John,33, 50000 ,Sales,2021-13-8
Meena,,,HR,9/1/2024
Emily123,twenty,,Marketing,10/5/2019
Rakesh,,70k,Sales,2020-02-30
Priya,31, 50000 ,IT,2021-13-10
Maya,twenty,,IT ,
David,,,HR,2021-13-23
John  ,, 50000 ,HR ,11/26/2021
David123,48,unknown,Marketing ,
Rakesh123,, 50000 ,Marketing,2023-9-15
Rakesh,,70k,HR,2020-02-30
Maya,,,Finance,2020-02-30
Priya ,,70k,HR,2020-02-30
Kevin,51,,Finance,
Emily ,,40574,Finance ,2021-2-17
Kevin ,twenty, 50000 ,Marketing,
Rakesh,,70k,HR,2021-3-7
Rakesh,,70k,HR,2020-02-30
Maya,,,HR,10/3/2012
Emily,,,Sales ,10/16/2011
Maya  ,,,IT,2020-02-30
David,59,,IT,2021-13-28
Emily  ,,,IT,2020-02-30
Meena123,58,60378,Finance,2021-2-1
Kevin,,70k,Marketing,2020-02-30
Rakesh123,21,unknown,Finance,
Rakesh  ,,,IT,2024-4-27
Kevin  ,49,unknown,HR ,
David ,,70k,Finance ,2020-02-30
Kevin123,,70k,HR,1/10/2012
Meena,,,Sales ,2021-13-11
Rakesh  ,53,70k,Finance,
Maya ,57, 50000 ,Finance,2022-10-2
Kevin,,,Sales ,2021-13-9
Meena123,41,70k,Sales,2020-02-30
John123,40,73498,IT,2021-13-7
Ahmed  ,,61159,Marketing ,
John,, 50000 ,Sales ,2021-13-15
Kevin,,54049,HR ,2021-13-25
Kevin,twenty,,Finance ,2020-11-14
John,,78923,Marketing,
Priya ,,70k,HR,
Emily123,, 50000 ,HR,2021-13-20
Rakesh ,,48145,HR,11/2/2024
Emily ,twenty,45946,Finance,
Priya ,, 50000 ,HR ,9/9/2013
Sara,42,78565,Sales ,6/8/2016
Maya123,, 50000 ,Sales,2021-13-13
Meena123,twenty,,Sales,
Priya123,,67420,IT,
John  ,twenty, 50000 ,Finance ,
Sara123,46,,Sales,2020-02-30
Maya,,,IT,
Meena,twenty,70k,Finance ,2020-02-30
David,,70k,HR,12/15/2023
Emily  ,, 50000 ,Sales,2/13/2013
Sara123,31,30536,Marketing,
Sara,,68247,Finance,2022-8-22
Rakesh  ,, 50000 ,Marketing,2021-13-21
Ahmed ,,,Finance ,
Kevin  ,,unknown,Marketing,2020-02-30
Priya ,, 50000 ,IT,
Emily,twenty,61831,IT ,2021-13-14
Priya123,twenty,34098,Marketing,
Emily  ,57,,HR,
Ahmed123,,,Marketing,2021-13-25
Kevin ,38,unknown,Marketing ,4/26/2016
Ahmed  ,,45729,Marketing,
Rakesh,,70k,HR,11/10/2021
Meena,, 50000 ,Marketing,
Emily,, 50000 ,Finance,2021-13-19
Emily,,46072,Sales,8/9/2023
Ahmed ,twenty,61387,HR,3/16/2018
Maya123,,,Marketing ,2022-5-25
Maya,,,Marketing,
Sara123,,,HR,
Emily123,twenty,70k,Marketing,
Meena,,unknown,HR ,1/17/2022
Ahmed ,29, 50000 ,HR ,2020-02-30
Ahmed,28, 50000 ,Finance,2020-02-30
Ahmed ,twenty, 50000 ,Marketing ,
Sara123,,,HR,
Emily,,70k,Marketing,1/12/2022
Rakesh ,54,54516,Marketing,2021-13-7
John  ,, 50000 ,Finance,2/16/2023
Priya123,, 50000 ,IT,2023-1-27
Kevin,,unknown,IT ,
Sara123,,70k,Sales,
Rakesh ,,unknown,Marketing,
Emily  ,twenty,35258,Finance ,2021-13-15
Rakesh,, 50000 ,Marketing,2020-02-30
Kevin  ,, 50000 ,IT,
Maya  ,53,70k,IT,2021-5-16
Kevin ,twenty,70k,HR ,
Priya,,unknown,IT,
Rakesh  ,,40411,Sales,2020-02-30
Sara,, 50000 ,Sales,2021-13-11
Sara  ,,unknown,HR,2024-3-24
John,,,Marketing,2021-13-5
Ahmed123,,unknown,Sales ,
Priya ,58,70k,Marketing,2022-1-5
Maya,46,,Marketing ,
Kevin  ,41, 50000 ,Marketing,2020-02-30
Emily ,,49342,IT,
Maya,twenty,,Sales,4/18/2021
Sara,,unknown,Sales ,2022-6-9
Kevin123,twenty,,IT ,
Rakesh,36,unknown,HR,
Maya123,41,,IT,
John,44,,Finance,2022-12-25
Meena,,,Finance,
Priya ,twenty,,IT,
Rakesh,,70k,HR ,1/2/2016
Rakesh,twenty,70k,Marketing,2021-13-11
Rakesh123,45, 50000 ,HR ,2020-02-30
Rakesh,, 50000 ,Sales,2022-7-9
Meena ,25, 50000 ,HR,
Emily,twenty,,Marketing ,2022-12-8
Kevin  ,,,Finance,
Rakesh  ,,unknown,Finance ,2020-7-4
Ahmed  ,31,70k,Marketing,5/16/2012
Priya  ,twenty,,Sales,
David123,,,Finance,2022-9-24
David123,50,70k,Sales ,
Kevin,, 50000 ,Finance ,
Priya,,77394,Sales ,
Meena,27,70k,Marketing,2/26/2024
David123,60,54307,Finance,
Maya,,,Marketing ,
Maya ,twenty,71598,Finance ,
David  ,40,81330,Marketing,2023-4-28
Ahmed,44,54938,Marketing,2020-02-30
Priya ,, 50000 ,Marketing,2021-13-21
John ,50,unknown,Marketing ,2020-02-30
Maya,,70k,Finance ,2024-9-16
Emily123,53,70k,Marketing ,7/18/2023
Maya,twenty,43317,IT ,2021-3-28
David,,70k,Finance,2020-02-30
John,,,Marketing ,
Rakesh,,,Finance,2023-6-18
John,,,Finance,
John,,unknown,IT ,
Sara123,twenty,70k,Marketing,2020-02-30
Meena ,,,IT,2022-12-21
Rakesh123,twenty,,IT,2020-02-30
Maya,35,70k,Marketing ,
Rakesh123,,43836,Sales ,2020-02-30
Rakesh123,,70k,Marketing ,2020-02-30
Emily,,,Marketing,2020-02-30
Kevin ,23,unknown,Marketing,2021-13-4
